         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15560    0.285    0.000    0.314    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   467748    0.273    0.000    0.495    0.000 {built-in method builtins.any}
265907/250207    0.273    0.000    1.534    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/contextlib.py:141(__exit__)
    59504    0.270    0.000    0.340    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/font_manager.py:896(set_size)
   320187    0.267    0.000    1.518    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2802(amin)
   329068    0.261    0.000    1.462    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2677(amax)
    75291    0.259    0.000    0.942    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:2972(__array_finalize__)
    20246    0.259    0.000    0.542    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/numeric.py:2354(within_tol)
76345/76324    0.257    0.000    1.021    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1777(__eq__)
     7000    0.255    0.000    2.362    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/format.py:533(_filter_header)
     7000    0.255    0.000    0.255    0.000 {built-in method builtins.compile}
75892/75578    0.250    0.000    0.257    0.000 {method 'astype' of 'numpy.ndarray' objects}
      980    0.249    0.000    0.254    0.000 {method 'draw_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   492819    0.245    0.000    0.805    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/pyplot.py:808(_auto_draw_if_interactive)
1411036/1404060    0.241    0.000    0.261    0.000 {built-in method builtins.len}
    57804    0.240    0.000    0.450    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1983(rotate)
   167784    0.239    0.000    2.636    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:809(from_extents)
   223110    0.236    0.000    0.627    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/lines.py:1271(set_xdata)
   490515    0.235    0.000    1.493    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/figure.py:51(_stale_figure_callback)
